document_id,recorded_llm_label,traditional_prediction,recorded_rationale
CAMPUS-057,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-058,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-059,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-060,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-061,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-062,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-063,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-064,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-065,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-066,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-067,safety,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-068,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-069,transit,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-070,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-071,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-072,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-073,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-074,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-075,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-076,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-077,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-078,safety,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-079,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-080,safety,safety,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-081,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-082,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-083,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-084,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-085,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-086,study_space,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-087,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-088,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-089,services,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-090,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-091,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-092,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-093,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-094,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-095,services,services,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-096,other,services,Recorded classroom fixture; inspect the source text before accepting this label.
