openalex_id,title,publication_year,cited_by_count,doi,primary_topic,primary_field,primary_domain,berkeley_authors,abstract,sample_year,sample_seed,source_query_cost_usd
W4400773625,Methods to Study Human Memory,2024,0,https://doi.org/10.1093/oxfordhb/9780190917982.013.5,Memory and Neural Mechanisms,Neuroscience,Life Sciences,Mark D’Esposito; Robert T. Knight,"Abstract A wide range of methods have advanced understanding of the neural mechanisms underlying human memory function. For decades, the lesion approach served as the gold standard in localizing function and establishing causal relationships between anatomy and behavior. Since the 1990s, a wealth of evidence from neuroimaging (positron emission tomography and functional magnetic resonance imaging) and neurophysiological studies (magnetoelectroencephalography, scalp electroencephalography [EEG], intracranial EEG, and single-unit recordings) has provided more detailed insights into the functional mechanisms of large-scale neuronal networks that enable memory formation. In addition, methodological advances in the ability to alter brain activity through electrical or magnetic stimulation have offered new insights into the role of such activity in causally modulating memory encoding, consolidation, and retrieval. This chapter reviews these methodological approaches and their strengths and weaknesses in addressing theoretical issues in memory research.",2024,211,0.0001
W4401538881,Why Now? Thoughts on the Du Boisian Revolution,2024,6,https://doi.org/10.1111/soc4.13264,Contemporary Sociological Theory and Practice,Social Sciences,Social Sciences,Michael Burawoy,"ABSTRACT In this editorial collection, five sociologists share their opinions on why there has been a recent proliferation of scholarship on Du Bois, and summarize their own position in relation to this intellectual area. Ranging from reflections on how they “discovered” Du Bois's works, through to assessments of American sociology's reception of Du Bois's scholarship, the idea of this brief piece is to provide an insight into some of the potential driving forces behind the boom in Du Boisian scholarship.",2024,211,0.0001
W4395096846,A 60-GHz Phase-Locked Loop Using Standing- Wave Oscillator for Clock Distribution in 2-D Phased-Array,2024,3,https://doi.org/10.1109/lmwt.2024.3388933,Advancements in PLL and VCO Technologies,Engineering,Physical Sciences,Jun‐Chau Chien,"This letter presents a 60-GHz analog phase-locked loop (PLL) incorporating a half-wavelength standing-wave oscillator (SWO) as part of the clock distribution network in a sub-THz 2-D phased-array transceiver. The frequency is selected as one-fourth of the target carrier frequency to comply with the 625- <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$\mu$</tex-math> </inline-formula> m half-wavelength element spacing requirement while facilitating array scaling. The PLL features a sampler-based phase detector (PD) and retiming flip-flop at the divider chain output to ensure minimal noise injection. Fabricated in TSMC 28-nm CMOS, the measurement results show an integrated jitter of 87.5 fsec from 1 kHz to 100 MHz. Consuming 31.35 mW of power, the presented PLL achieves a figure-of-merit of <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$-$</tex-math> </inline-formula> 270 dB.",2024,211,0.0001
W4403448329,The Influence of Fault Geometrical Complexity on Surface Rupture Length,2024,26,https://doi.org/10.1029/2024gl109957,Geophysical Methods and Applications,Engineering,Physical Sciences,Kélian Dascher-Cousineau,"Abstract Propagating earthquakes must overcome geometrical complexity on fault networks to grow into large, surface rupturing events. We map step‐overs, bends, gaps, splays, and strands of length scales ∼100–500 m from the surface ruptures of 31 strike‐slip earthquakes, recording whether ruptures propagated past the feature. We find that step‐overs and bends can arrest rupture and develop a statistical model for passing probability as a function of geometry for each group. Step‐overs wider than 1.2 km, single bends larger than 32°, and double bends larger than 38° are breached by rupture half of the time. ∼20% of the ruptures terminate on straight segments. We examine how the distribution of geometrical complexity influences surface rupture length, inferring an exponential relationship between rupture length and event probability. Our findings support that geometrical complexity helps limit the size of large events and provide insights into the competition between energy supply and dissipation during rupture propagation.",2024,211,0.0001
W4401688627,Protection of the Telomeric Junction by the Shelterin Complex,2024,0,https://doi.org/10.1101/2024.08.18.608453,"Telomeres, Telomerase, and Senescence",Medicine,Health Sciences,Ahmet Yıldız; Amanda Jack,"Abstract Shelterin serves critical roles in suppressing superfluous DNA damage repair pathways on telomeres. The junction between double-stranded telomeric tracts (dsTEL) and single-stranded telomeric overhang (ssTEL) is the most accessible region of the telomeric DNA. The shelterin complex contains dsTEL and ssTEL binding proteins and can protect this junction by bridging between the ssTEL and dsTEL tracts. To test this possibility, we monitored shelterin binding to telomeric DNA substrates with varying ssTEL and dsTEL lengths and quantified its impact on telomere accessibility using single-molecule fluorescence microscopy methods in vitro . We identified the first dsTEL repeat nearest to the junction as the preferred binding site for creating the shelterin bridge. Shelterin requires at least two ssTEL repeats while the POT1 subunit of shelterin that binds to ssTEL requires longer ssTEL tracts for stable binding to telomeres and effective protection of the junction region. The ability of POT1 to protect the junction is significantly enhanced by the 5’-phosphate at the junction. Collectively, our results show that shelterin enhances the binding stability of POT1 to ssTEL and provides more effective protection compared to POT1 alone by bridging single- and double-stranded telomeric tracts. Table of Content Graphic",2024,211,0.0001
W4400430369,Integrating Ecological Value and Charismatic Species Habitats to Prioritize Habitats for Conservation: A Case Study from Greater Yellowstone,2024,2,https://doi.org/10.3375/2162-4399-44.3.157,Economic and Environmental Valuation,"Economics, Econometrics and Finance",Social Sciences,Arthur D. Middleton,"Expanding human pressure has reduced natural habitats globally and motivated strategies to conserve remaining natural habitats. Decisions about conservation on private lands, however, are typically made by local stakeholders who are motivated by the elements of nature they most highly value. Thus, national prioritization for conservation should be complemented by local analysis of species or habitats that most influence local landowner decisions. We demonstrate within the Greater Yellowstone Ecosystem how quantitative mapping of wildlife species that are highly valued by local residents can be integrated with indices of ecosystem integrity to prioritize private lands for conservation. We found that natural vegetation cover (NVC) comprised 81% of the private lands. Some watersheds have lost 6% of NVC since 2001 and developed lands now cover >40% of their areas. Locations high in ecological value, elk habitat, and grizzly habitat occurred in different biophysical settings. Consequently, only 2% of the NVC supports high levels of all three biodiversity measures and 26% of this area was within conservation easements. The remaining areas of high biodiversity value that are unprotected are priorities for conservation. We suggest that national-scale conservation planning will be most effective on private lands if additional within-ecoregion analyses are done on the elements of biodiversity that are most valued by local people.",2024,211,0.0001
W4394764652,Beyond open access: Book publishing in a metric culture,2024,1,https://doi.org/10.1111/area.12943,Academic Publishing and Open Access,Decision Sciences,Social Sciences,Clancy Wilmott,"Abstract This short commentary responds to Gandy's (2023) piece ‘Books under threat: Open access publishing and the neo‐liberal academy’. It argues that the requirement for open access in UK Research and Innovation (UKRI) grants does not mark a major turning point in academic publishing, but rather is simply the latest trend in a series of changes which have seen academic inequalities redistributed under a metric culture.",2024,211,0.0001
W4392198751,Author Response: Control of meiotic entry by dual inhibition of a key mitotic transcription factor,2024,0,https://doi.org/10.7554/elife.90425.3.sa2,Epigenetics and DNA Methylation,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Amanda Su; Elçin Ünal; Siri C. Yendluri,Investigation of how cells rewire their transcriptional programs during transition from mitotic to meiotic cell fate reveals a two-pronged mechanism for inactivating a key mitotic transcription factor.,2024,211,0.0001
W4405487215,Generative Social Choice,2024,12,https://doi.org/10.1145/3670865.3673547,Evolutionary Game Theory and Cooperation,Social Sciences,Social Sciences,Paul Gölz,"The mathematical study of voting, social choice theory, has traditionally only been applicable to choices among a few predetermined alternatives, but not to open-ended decisions such as collectively selecting a textual statement. We introduce generative social choice, a design methodology for open-ended democratic processes that combines the rigor of social choice theory with the capability of large language models to generate text and extrapolate preferences. Our framework divides the design of AI-augmented democratic processes into two components: first, proving that the process satisfies representation guarantees when given access to oracle queries; second, empirically validating that these queries can be approximately implemented using a large language model. We apply this framework to the problem of summarizing free-form opinions into a proportionally representative slate of opinion statements; specifically, we develop a democratic process with representation guarantees and use this process to represent the opinions of participants in a survey about chatbot personalization. In a trial with 100 representative US residents, we find that 93 out of 100 participants feel ""mostly"" or ""perfectly"" represented by the slate of five statements we extracted. By providing rigorous guarantees through social choice, our work alleviates concerns about AI-driven democratic innovation and helps unlock its potential.",2024,211,0.0001
W4401946817,"Communication, coordination, and surveillance in the shadow of repression",2024,5,https://doi.org/10.1111/ajps.12904,Opinion Dynamics and Social Influence,Physics and Astronomy,Physical Sciences,Andrew T. Little; Tak‐Huen Chau,"Abstract Communication technology helps protesters organize, but also allows the government to monitor and repress their actions. We study this trade‐off in a model where protesters want to show up at the same time and place, but also want to avoid government forces. If leaders of a movement can send messages observed only by other protesters, they can successfully coordinate on a variety of sites and force the government to spread resources thin, helping the success of the movement. If the government always observes the messages too, protesters can do no better than always going to a “focal site” knowing that the government will send all resources there as well, and thus experience higher levels of repression for the sake of coordinating tactics. Intermediate cases where messages are partially observed generate dynamics where new technologies and media that are relatively known to other protesters and not the government are used until the government can reliably infiltrate them and the protesters move on to a new medium. When some protesters are more informed than others, the model can explain protest tactics observed in recent prominent cases like having smaller “parallel” protests at the same time but different location of the main gathering.",2024,211,0.0001
W4404139690,Choice Frictions in Large Assortments,2024,7,https://doi.org/10.1287/mksc.2023.0415,Consumer Market Behavior and Pricing,"Business, Management and Accounting",Social Sciences,Olivia Natan,This paper studies how expanding product assortments on an online food delivery platform increases consumer acquisition but decreases purchase frequency among existing customers.,2024,211,0.0001
W4405622476,Heat-related mortality in Mexico: A multi-scale spatial analysis of extreme heat effects and municipality-level vulnerability,2024,10,https://doi.org/10.1016/j.envint.2024.109231,Climate Change and Health Impacts,Environmental Science,Physical Sciences,David J. X. González; Lara Schwarz,"Understanding effects of extreme heat across diverse settings is critical as social determinants play an important role in modifying heat-related risks. We apply a multi-scale analysis to understand spatial variation in the effects of heat across Mexico and explore factors that are explaining heterogeneity. Daily all-cause mortality was collected from the Mexican Secretary of Health and municipality-specific extreme heat events were estimated using population-weighted temperatures from 1998 to 2019 using Daymet and WorldPop datasets. We analyzed the association between single-day extreme heat events defined at the 99th percentile of the same-day maximum temperature and mortality, and seven heat threshold metrics based on relative and absolute scales were considered as sensitivity analyses. A time-stratified case-crossover was applied to evaluate heat impacts across 32 states in Mexico. A within-community matched design with Bayesian Hierarchical model explored effects across 2456 municipalities. A random-effects meta-regression was applied to understand which municipality-level socio-demographic characteristics such as education, age and housing predicted observed spatial heterogeneity. Extreme heat increased the odds of mortality overall, and this was consistent across extreme heat thresholds. At the state level, extreme heat events showed highest impact on mortality in Tabasco [OR: 1.23, 95% CI: 1.17, 1.30]. The municipality-level spatial analysis showed substantial differences across regions with highest effects observed along the eastern, southwestern and Sonora coasts. Municipalities with older populations, higher marginalization, lower education, and poorer housing conditions were more vulnerable to heat effects. Understanding the differential risks of extreme heat events at varying scales is important to prioritize at-risk populations in action plans and policies to reduce their burden.",2024,211,0.0001
W4399054206,Civil Service Adoption in America: The Political Influence of City Employees,2024,8,https://doi.org/10.1017/s0003055424000431,Public Policy and Administration Research,Social Sciences,Social Sciences,Sarah F. Anzia,"At the turn of the twentieth century, most cities in America featured a patronage-based system of governance, but over the next few decades, patronage was replaced by civil service. Civil service restructured the relationship between elected officials and government employees, with employees benefiting from a variety of new protections. Yet in studying this change, scholars have largely ignored the role local employees themselves might have played in the transformation. We argue that city employees stood to benefit from civil service, and in places where they had agency and clout, they were important drivers of its adoption. We collected a dataset for more than 1,000 municipal governments, determining whether and when they adopted civil service and whether their employees were organized in an occupational organization. Our analysis of these new data shows the influence of city employees was an important contributor to the spread of civil service in American local government.",2024,211,0.0001
W4365211514,The Atacama Cosmology Telescope: A Measurement of the DR6 CMB Lensing Power Spectrum and Its Implications for Structure Growth,2024,255,https://doi.org/10.3847/1538-4357/acfe06,Astronomy and Astrophysical Research,Physics and Astronomy,Physical Sciences,Kevin T. Crowley; Simone Ferraro,"Abstract We present new measurements of cosmic microwave background (CMB) lensing over 9400 deg 2 of the sky. These lensing measurements are derived from the Atacama Cosmology Telescope (ACT) Data Release 6 (DR6) CMB data set, which consists of five seasons of ACT CMB temperature and polarization observations. We determine the amplitude of the CMB lensing power spectrum at 2.3% precision (43 σ significance) using a novel pipeline that minimizes sensitivity to foregrounds and to noise properties. To ensure that our results are robust, we analyze an extensive set of null tests, consistency tests, and systematic error estimates and employ a blinded analysis framework. Our CMB lensing power spectrum measurement provides constraints on the amplitude of cosmic structure that do not depend on Planck or galaxy survey data, thus giving independent information about large-scale structure growth and potential tensions in structure measurements. The baseline spectrum is well fit by a lensing amplitude of A lens = 1.013 ± 0.023 relative to the Planck 2018 CMB power spectra best-fit ΛCDM model and A lens = 1.005 ± 0.023 relative to the ACT DR4 + WMAP best-fit model. From our lensing power spectrum measurement, we derive constraints on the parameter combination <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll""> <mml:msubsup> <mml:mrow> <mml:mi>S</mml:mi> </mml:mrow> <mml:mrow> <mml:mn>8</mml:mn> </mml:mrow> <mml:mrow> <mml:mi>CMBL</mml:mi> </mml:mrow> </mml:msubsup> <mml:mo>≡</mml:mo> <mml:msub> <mml:mrow> <mml:mi>σ</mml:mi> </mml:mrow> <mml:mrow> <mml:mn>8</mml:mn> </mml:mrow> </mml:msub> <mml:msup> <mml:mrow> <mml:mfenced close="")"" open=""(""> <mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">Ω</mml:mi> </mml:mrow> <mml:mrow> <mml:mi>m</mml:mi> </mml:mrow> </mml:msub> <mml:mrow> <mml:mo stretchy=""true"">/</mml:mo> </mml:mrow> <mml:mn>0.3</mml:mn> </mml:mrow> </mml:mfenced> </mml:mrow> <mml:mrow> <mml:mn>0.25</mml:mn> </mml:mrow> </mml:msup> </mml:math> of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll""> <mml:msubsup> <mml:mrow> <mml:mi>S</mml:mi> </mml:mrow> <mml:mrow> <mml:mn>8</mml:mn> </mml:mrow> <mml:mrow> <mml:mi>CMBL</mml:mi> </mml:mrow> </mml:msubsup> <mml:mo>=</mml:mo> <mml:mn>0.818</mml:mn> <mml:mo>±</mml:mo> <mml:mn>0.022</mml:mn> </mml:math> from ACT DR6 CMB lensing alone and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" overflow=""scroll""> <mml:msubsup> <mml:mrow> <mml:mi>S</mml:mi> </mml:mrow> <mml:mrow> <mml:mn>8</mml:mn> </mml:mrow> <mml:mrow> <mml:mi>CMBL</mml:mi> </mml:mrow> </mml:msubsup> <mml:mo>=</mml:mo> <mml:mn>0.813</mml:mn> <mml:mo>±</mml:mo> <mml:mn>0.018</mml:mn> </mml:math> when combining ACT DR6 and Planck NPIPE CMB lensing power spectra. These results are in excellent agreement with ΛCDM model constraints from Planck or ACT DR4 + WMAP CMB power spectrum measurements. Our lensing measurements from redshifts z ∼ 0.5–5 are thus fully consistent with ΛCDM structure growth predictions based on CMB anisotropies probing primarily z ∼ 1100. We find no evidence for a suppression of the amplitude of cosmic structure at low redshifts.",2024,211,0.0001
W4403158810,Super-resolution microscopy unveils the nanoscale organization and self-limiting clustering of CD47 in human erythrocytes,2024,9,https://doi.org/10.1093/jmcb/mjae041,Erythrocyte Function and Pathophysiology,Medicine,Health Sciences,Ke Xu; Rui Yan; Wan Li,"The transmembrane protein CD47, an innate immune checkpoint protein, plays a pivotal role in preventing healthy erythrocytes from immune clearance. Our study utilized stochastic optical reconstruction microscopy (STORM) and single-molecule analysis to investigate the distribution of CD47 on the human erythrocyte membrane. Contrary to previous findings in mouse erythrocytes, we discovered that CD47 exists in randomly distributed monomers rather than in clusters across the human erythrocyte membrane. Using secondary antibody-induced crosslinking, we found that CD47 aggregates into stable clusters within minutes. By comparing these STORM results with those of the fully mobile protein CD59 and the cytoskeleton-bound membrane protein glycophorin C under similar conditions, as well as devising two-color STORM co-labeling and co-clustering experiments, we further quantitatively revealed an intermediate, self-limiting clustering behavior of CD47, elucidating its fractional (∼14%) attachment to the cytoskeleton. Moreover, we report reductions in both the amount of CD47 and its clustering capability in aged erythrocytes, providing new insight into erythrocyte senescence. Together, the combination of STORM and secondary antibody-based crosslinking unveils the unique self-limiting clustering behavior of CD47 due to its fractional cytoskeleton attachment.",2024,211,0.0001
