ts,user,event,score
2025-07-06T17:29:00,u0089,click,17
2025-07-07T18:30:00,u0090,click,24
2025-07-08T19:31:00,u0091,click,31
2025-07-09T20:32:00,u0092,click,38
2025-07-10T21:33:00,u0093,click,45
2025-07-11T22:34:00,u0094,click,52
2025-07-12T23:35:00,u0095,click,59
2025-07-13T00:36:00,u0096,click,66
2025-07-14T01:37:00,u0097,click,73
2025-07-15T02:38:00,u0098,click,80
2025-07-16T03:39:00,u0099,click,87
2025-07-17T04:40:00,u0100,click,94
2025-07-18T05:41:00,u0101,click,0
2025-07-19T06:42:00,u0102,click,7
2025-07-20T07:43:00,u0103,click,14
2025-07-21T08:44:00,u0104,click,21
2025-07-22T09:45:00,u0105,click,28
2025-07-23T10:46:00,u0106,click,35
2025-07-24T11:47:00,u0107,click,42
2025-07-25T12:48:00,u0108,click,49
2025-07-26T13:49:00,u0109,click,56
2025-07-27T14:50:00,u0110,click,63
2025-07-28T15:51:00,u0111,click,70
2025-07-01T16:52:00,u0112,click,77
2025-07-02T17:53:00,u0113,click,84
2025-07-03T18:54:00,u0114,click,91
2025-07-04T19:55:00,u0115,click,98
2025-07-05T20:56:00,u0116,click,4
2025-07-06T21:57:00,u0117,click,11
2025-07-07T22:58:00,u0118,click,18
2025-07-08T23:59:00,u0119,click,25
2025-07-09T00:00:00,u0120,click,32
2025-07-10T01:01:00,u0121,click,39
2025-07-11T02:02:00,u0122,click,46
2025-07-12T03:03:00,u0123,click,53
2025-07-13T04:04:00,u0124,click,60
2025-07-14T05:05:00,u0125,click,67
2025-07-15T06:06:00,u0126,click,74
2025-07-16T07:07:00,u0127,click,81
2025-07-17T08:08:00,u0128,click,88
2025-07-18T09:09:00,u0129,click,95
2025-07-19T10:10:00,u0130,click,1
2025-07-20T11:11:00,u0131,click,8
2025-07-21T12:12:00,u0132,click,15
2025-07-22T13:13:00,u0133,click,22
2025-07-23T14:14:00,u0134,click,29
2025-07-24T15:15:00,u0135,click,36
2025-07-25T16:16:00,u0136,click,43
2025-07-26T17:17:00,u0137,click,50
2025-07-27T18:18:00,u0138,click,57
2025-07-28T19:19:00,u0139,click,64
2025-07-01T20:20:00,u0140,click,71
2025-07-02T21:21:00,u0141,click,78
2025-07-03T22:22:00,u0142,click,85
2025-07-04T23:23:00,u0143,click,92
2025-07-05T00:24:00,u0144,click,99
2025-07-06T01:25:00,u0145,click,5
2025-07-07T02:26:00,u0146,click,12
2025-07-08T03:27:00,u0147,click,19
2025-07-09T04:28:00,u0148,click,26
2025-07-10T05:29:00,u0149,click,33
2025-07-11T06:30:00,u0150,click,40
2025-07-12T07:31:00,u0151,click,47
2025-07-13T08:32:00,u0152,click,54
2025-07-14T09:33:00,u0153,click,61
2025-07-15T10:34:00,u0154,click,68
2025-07-16T11:35:00,u0155,click,75
2025-07-17T12:36:00,u0156,click,82
2025-07-18T13:37:00,u0157,click,89
2025-07-19T14:38:00,u0158,click,96
2025-07-20T15:39:00,u0159,click,2
2025-07-21T16:40:00,u0160,click,9
2025-07-22T17:41:00,u0161,click,16
2025-07-23T18:42:00,u0162,click,23
2025-07-24T19:43:00,u0163,click,30
2025-07-25T20:44:00,u0164,click,37
2025-07-26T21:45:00,u0165,click,44
2025-07-27T22:46:00,u0166,click,51
2025-07-28T23:47:00,u0167,click,58
2025-07-01T00:48:00,u0168,click,65
2025-07-02T01:49:00,u0169,click,72
2025-07-03T02:50:00,u0170,click,79
2025-07-04T03:51:00,u0171,click,86
2025-07-05T04:52:00,u0172,click,93
2025-07-06T05:53:00,u0173,click,100
2025-07-07T06:54:00,u0174,click,6
2025-07-08T07:55:00,u0175,click,13
2025-07-09T08:56:00,u0176,click,20
2025-07-10T09:57:00,u0177,click,27
2025-07-11T10:58:00,u0178,click,34
2025-07-12T11:59:00,u0179,click,41
2025-07-13T12:00:00,u0180,click,48
2025-07-14T13:01:00,u0181,click,55
2025-07-15T14:02:00,u0182,click,62
2025-07-16T15:03:00,u0183,click,69
2025-07-17T16:04:00,u0184,click,76
2025-07-18T17:05:00,u0185,click,83
2025-07-19T18:06:00,u0186,click,90
2025-07-20T19:07:00,u0187,click,97
2025-07-21T20:08:00,u0188,click,3
2025-07-22T21:09:00,u0189,click,10
2025-07-23T22:10:00,u0190,click,17
2025-07-24T23:11:00,u0191,click,24
2025-07-25T00:12:00,u0192,click,31
2025-07-26T01:13:00,u0193,click,38
2025-07-27T02:14:00,u0194,click,45
2025-07-28T03:15:00,u0195,click,52
2025-07-01T04:16:00,u0196,click,59
2025-07-02T05:17:00,u0197,click,66
2025-07-03T06:18:00,u0198,click,73
2025-07-04T07:19:00,u0199,click,80
2025-07-05T08:20:00,u0200,click,87
2025-07-06T09:21:00,u0201,click,94
2025-07-07T10:22:00,u0202,click,0
2025-07-08T11:23:00,u0203,click,7
2025-07-09T12:24:00,u0204,click,14
2025-07-10T13:25:00,u0205,click,21
2025-07-11T14:26:00,u0206,click,28
2025-07-12T15:27:00,u0207,click,35
2025-07-13T16:28:00,u0208,click,42
2025-07-14T17:29:00,u0209,click,49
2025-07-15T18:30:00,u0210,click,56
2025-07-16T19:31:00,u0211,click,63
2025-07-17T20:32:00,u0212,click,70
2025-07-18T21:33:00,u0213,click,77
2025-07-19T22:34:00,u0214,click,84
2025-07-20T23:35:00,u0215,click,91
2025-07-21T00:36:00,u0216,click,98
2025-07-22T01:37:00,u0217,click,4
2025-07-23T02:38:00,u0218,click,11
2025-07-24T03:39:00,u0219,click,18
2025-07-25T04:40:00,u0220,click,25
2025-07-26T05:41:00,u0221,click,32
2025-07-27T06:42:00,u0222,click,39
2025-07-28T07:43:00,u0223,click,46
2025-07-01T08:44:00,u0224,click,53
2025-07-02T09:45:00,u0225,click,60
2025-07-03T10:46:00,u0226,click,67
2025-07-04T11:47:00,u0227,click,74
2025-07-05T12:48:00,u0228,click,81
2025-07-06T13:49:00,u0229,click,88
2025-07-07T14:50:00,u0230,click,95
2025-07-08T15:51:00,u0231,click,1
2025-07-09T16:52:00,u0232,click,8
2025-07-10T17:53:00,u0233,click,15
2025-07-11T18:54:00,u0234,click,22
2025-07-12T19:55:00,u0235,click,29
2025-07-13T20:56:00,u0236,click,36
2025-07-14T21:57:00,u0237,click,43
2025-07-15T22:58:00,u0238,click,50
2025-07-16T23:59:00,u0239,click,57
2025-07-17T00:00:00,u0240,click,64
2025-07-18T01:01:00,u0241,click,71
2025-07-19T02:02:00,u0242,click,78
2025-07-20T03:03:00,u0243,click,85
2025-07-21T04:04:00,u0244,click,92
2025-07-22T05:05:00,u0245,click,99
2025-07-23T06:06:00,u0246,click,5
2025-07-24T07:07:00,u0247,click,12
2025-07-25T08:08:00,u0248,click,19
2025-07-26T09:09:00,u0249,click,26
2025-07-27T10:10:00,u0250,click,33
2025-07-28T11:11:00,u0251,click,40
2025-07-01T12:12:00,u0252,click,47
2025-07-02T13:13:00,u0253,click,54
2025-07-03T14:14:00,u0254,click,61
2025-07-04T15:15:00,u0255,click,68
2025-07-05T16:16:00,u0256,click,75
2025-07-06T17:17:00,u0257,click,82
2025-07-07T18:18:00,u0258,click,89
2025-07-08T19:19:00,u0259,click,96
2025-07-09T20:20:00,u0260,click,2
2025-07-10T21:21:00,u0261,click,9
2025-07-11T22:22:00,u0262,click,16
2025-07-12T23:23:00,u0263,click,23
2025-07-13T00:24:00,u0264,click,30
2025-07-14T01:25:00,u0265,click,37
2025-07-15T02:26:00,u0266,click,44
2025-07-16T03:27:00,u0267,click,51
2025-07-17T04:28:00,u0268,click,58
2025-07-18T05:29:00,u0269,click,65
2025-07-19T06:30:00,u0270,click,72
2025-07-20T07:31:00,u0271,click,79
2025-07-21T08:32:00,u0272,click,86
2025-07-22T09:33:00,u0273,click,93
2025-07-23T10:34:00,u0274,click,100
2025-07-24T11:35:00,u0275,click,6
2025-07-25T12:36:00,u0276,click,13
2025-07-26T13:37:00,u0277,click,20
2025-07-27T14:38:00,u0278,click,27
2025-07-28T15:39:00,u0279,click,34
2025-07-01T16:40:00,u0280,click,41
2025-07-02T17:41:00,u0281,click,48
2025-07-03T18:42:00,u0282,click,55
2025-07-04T19:43:00,u0283,click,62
2025-07-05T20:44:00,u0284,click,69
2025-07-06T21:45:00,u0285,click,76
2025-07-07T22:46:00,u0286,click,83
2025-07-08T23:47:00,u0287,click,90
2025-07-09T00:48:00,u0288,click,97
2025-07-10T01:49:00,u0289,click,3
2025-07-11T02:50:00,u0290,click,10
2025-07-12T03:51:00,u0291,click,17
2025-07-13T04:52:00,u0292,click,24
2025-07-14T05:53:00,u0293,click,31
2025-07-15T06:54:00,u0294,click,38
2025-07-16T07:55:00,u0295,click,45
2025-07-17T08:56:00,u0296,click,52
2025-07-18T09:57:00,u0297,click,59
2025-07-19T10:58:00,u0298,click,66
2025-07-20T11:59:00,u0299,click,73
2025-07-21T12:00:00,u0300,click,80
2025-07-22T13:01:00,u0301,click,87
2025-07-23T14:02:00,u0302,click,94
2025-07-24T15:03:00,u0303,click,0
2025-07-25T16:04:00,u0304,click,7
2025-07-26T17:05:00,u0305,click,14
2025-07-27T18:06:00,u0306,click,21
2025-07-28T19:07:00,u0307,click,28
2025-07-01T20:08:00,u0308,click,35
2025-07-02T21:09:00,u0309,click,42
2025-07-03T22:10:00,u0310,click,49
2025-07-04T23:11:00,u0311,click,56
2025-07-05T00:12:00,u0312,click,63
2025-07-06T01:13:00,u0313,click,70
2025-07-07T02:14:00,u0314,click,77
2025-07-08T03:15:00,u0315,click,84
2025-07-09T04:16:00,u0316,click,91
2025-07-10T05:17:00,u0317,click,98
2025-07-11T06:18:00,u0318,click,4
2025-07-12T07:19:00,u0319,click,11
2025-07-13T08:20:00,u0320,click,18
2025-07-14T09:21:00,u0321,click,25
2025-07-15T10:22:00,u0322,click,32
2025-07-16T11:23:00,u0323,click,39
2025-07-17T12:24:00,u0324,click,46
2025-07-18T13:25:00,u0325,click,53
2025-07-19T14:26:00,u0326,click,60
2025-07-20T15:27:00,u0327,click,67
2025-07-21T16:28:00,u0328,click,74
2025-07-22T17:29:00,u0329,click,81
2025-07-23T18:30:00,u0330,click,88
2025-07-24T19:31:00,u0331,click,95
2025-07-25T20:32:00,u0332,click,1
2025-07-26T21:33:00,u0333,click,8
2025-07-27T22:34:00,u0334,click,15
2025-07-28T23:35:00,u0335,click,22
2025-07-01T00:36:00,u0336,click,29
2025-07-02T01:37:00,u0337,click,36
2025-07-03T02:38:00,u0338,click,43
2025-07-04T03:39:00,u0339,click,50
2025-07-05T04:40:00,u0340,click,57
2025-07-06T05:41:00,u0341,click,64
2025-07-07T06:42:00,u0342,click,71
2025-07-08T07:43:00,u0343,click,78
2025-07-09T08:44:00,u0344,click,85
2025-07-10T09:45:00,u0345,click,92
2025-07-11T10:46:00,u0346,click,99
2025-07-12T11:47:00,u0347,click,5
2025-07-13T12:48:00,u0348,click,12
2025-07-14T13:49:00,u0349,click,19
2025-07-15T14:50:00,u0350,click,26
2025-07-16T15:51:00,u0351,click,33
2025-07-17T16:52:00,u0352,click,40
2025-07-18T17:53:00,u0353,click,47
2025-07-19T18:54:00,u0354,click,54
2025-07-20T19:55:00,u0355,click,61
2025-07-21T20:56:00,u0356,click,68
2025-07-22T21:57:00,u0357,click,75
2025-07-23T22:58:00,u0358,click,82
2025-07-24T23:59:00,u0359,click,89
2025-07-25T00:00:00,u0360,click,96
2025-07-26T01:01:00,u0361,click,2
2025-07-27T02:02:00,u0362,click,9
2025-07-28T03:03:00,u0363,click,16
2025-07-01T04:04:00,u0364,click,23
2025-07-02T05:05:00,u0365,click,30
2025-07-03T06:06:00,u0366,click,37
2025-07-04T07:07:00,u0367,click,44
2025-07-05T08:08:00,u0368,click,51
2025-07-06T09:09:00,u0369,click,58
2025-07-07T10:10:00,u0370,click,65
2025-07-08T11:11:00,u0371,click,72
2025-07-09T12:12:00,u0372,click,79
2025-07-10T13:13:00,u0373,click,86
2025-07-11T14:14:00,u0374,click,93
2025-07-12T15:15:00,u0375,click,100
2025-07-13T16:16:00,u0376,click,6
2025-07-14T17:17:00,u0377,click,13
2025-07-15T18:18:00,u0378,click,20
2025-07-16T19:19:00,u0379,click,27
2025-07-17T20:20:00,u0380,click,34
2025-07-18T21:21:00,u0381,click,41
2025-07-19T22:22:00,u0382,click,48
2025-07-20T23:23:00,u0383,click,55
2025-07-21T00:24:00,u0384,click,62
2025-07-22T01:25:00,u0385,click,69
2025-07-23T02:26:00,u0386,click,76
2025-07-24T03:27:00,u0387,click,83
2025-07-25T04:28:00,u0388,click,90
2025-07-26T05:29:00,u0389,click,97
2025-07-27T06:30:00,u0390,click,3
2025-07-28T07:31:00,u0391,click,10
2025-07-01T08:32:00,u0392,click,17
2025-07-02T09:33:00,u0393,click,24
2025-07-03T10:34:00,u0394,click,31
2025-07-04T11:35:00,u0395,click,38
2025-07-05T12:36:00,u0396,click,45
2025-07-06T13:37:00,u0397,click,52
2025-07-07T14:38:00,u0398,click,59
2025-07-08T15:39:00,u0399,click,66
2025-07-09T16:40:00,u0400,click,73
2025-07-10T17:41:00,u0401,click,80
2025-07-11T18:42:00,u0402,click,87
2025-07-12T19:43:00,u0403,click,94
2025-07-13T20:44:00,u0404,click,0
2025-07-14T21:45:00,u0405,click,7
2025-07-15T22:46:00,u0406,click,14
2025-07-16T23:47:00,u0407,click,21
2025-07-17T00:48:00,u0408,click,28
2025-07-18T01:49:00,u0409,click,35
2025-07-19T02:50:00,u0410,click,42
2025-07-20T03:51:00,u0411,click,49
2025-07-21T04:52:00,u0412,click,56
2025-07-22T05:53:00,u0413,click,63
2025-07-23T06:54:00,u0414,click,70
2025-07-24T07:55:00,u0415,click,77
2025-07-25T08:56:00,u0416,click,84
2025-07-26T09:57:00,u0417,click,91
2025-07-27T10:58:00,u0418,click,98
2025-07-28T11:59:00,u0419,click,4
2025-07-01T12:00:00,u0420,click,11
2025-07-02T13:01:00,u0421,click,18
2025-07-03T14:02:00,u0422,click,25
2025-07-04T15:03:00,u0423,click,32
2025-07-05T16:04:00,u0424,click,39
2025-07-06T17:05:00,u0425,click,46
2025-07-07T18:06:00,u0426,click,53
2025-07-08T19:07:00,u0427,click,60
2025-07-09T20:08:00,u0428,click,67
2025-07-10T21:09:00,u0429,click,74
2025-07-11T22:10:00,u0430,click,81
2025-07-12T23:11:00,u0431,click,88
2025-07-13T00:12:00,u0432,click,95
2025-07-14T01:13:00,u0433,click,1
2025-07-15T02:14:00,u0434,click,8
2025-07-16T03:15:00,u0435,click,15
2025-07-17T04:16:00,u0436,click,22
2025-07-18T05:17:00,u0437,click,29
2025-07-19T06:18:00,u0438,click,36
2025-07-20T07:19:00,u0439,click,43
2025-07-21T08:20:00,u0440,click,50
2025-07-22T09:21:00,u0441,click,57
2025-07-23T10:22:00,u0442,click,64
2025-07-24T11:23:00,u0443,click,71
2025-07-25T12:24:00,u0444,click,78
2025-07-26T13:25:00,u0445,click,85
2025-07-27T14:26:00,u0446,click,92
2025-07-28T15:27:00,u0447,click,99
2025-07-01T16:28:00,u0448,click,5
2025-07-02T17:29:00,u0449,click,12
2025-07-03T18:30:00,u0450,click,19
2025-07-04T19:31:00,u0451,click,26
2025-07-05T20:32:00,u0452,click,33
2025-07-06T21:33:00,u0453,click,40
2025-07-07T22:34:00,u0454,click,47
2025-07-08T23:35:00,u0455,click,54
2025-07-09T00:36:00,u0456,click,61
2025-07-10T01:37:00,u0457,click,68
2025-07-11T02:38:00,u0458,click,75
2025-07-12T03:39:00,u0459,click,82
2025-07-13T04:40:00,u0460,click,89
2025-07-14T05:41:00,u0461,click,96
2025-07-15T06:42:00,u0462,click,2
2025-07-16T07:43:00,u0463,click,9
2025-07-17T08:44:00,u0464,click,16
2025-07-18T09:45:00,u0465,click,23
2025-07-19T10:46:00,u0466,click,30
2025-07-20T11:47:00,u0467,click,37
2025-07-21T12:48:00,u0468,click,44
2025-07-22T13:49:00,u0469,click,51
2025-07-23T14:50:00,u0470,click,58
2025-07-24T15:51:00,u0471,click,65
2025-07-25T16:52:00,u0472,click,72
2025-07-26T17:53:00,u0473,click,79
2025-07-27T18:54:00,u0474,click,86
2025-07-28T19:55:00,u0475,click,93
2025-07-01T20:56:00,u0476,click,100
2025-07-02T21:57:00,u0477,click,6
2025-07-03T22:58:00,u0478,click,13
2025-07-04T23:59:00,u0479,click,20
2025-07-05T00:00:00,u0480,click,27
2025-07-06T01:01:00,u0481,click,34
2025-07-07T02:02:00,u0482,click,41
2025-07-08T03:03:00,u0483,click,48
2025-07-09T04:04:00,u0484,click,55
2025-07-10T05:05:00,u0485,click,62
2025-07-11T06:06:00,u0486,click,69
2025-07-12T07:07:00,u0487,click,76
2025-07-13T08:08:00,u0488,click,83
2025-07-14T09:09:00,u0489,click,90
2025-07-15T10:10:00,u0490,click,97
2025-07-16T11:11:00,u0491,click,3
2025-07-17T12:12:00,u0492,click,10
2025-07-18T13:13:00,u0493,click,17
2025-07-19T14:14:00,u0494,click,24
2025-07-20T15:15:00,u0495,click,31
2025-07-21T16:16:00,u0496,click,38
2025-07-22T17:17:00,u0497,click,45
2025-07-23T18:18:00,u0498,click,52
2025-07-24T19:19:00,u0499,click,59
2025-07-25T20:20:00,u0500,click,66
2025-07-26T21:21:00,u0501,click,73
2025-07-27T22:22:00,u0502,click,80
2025-07-28T23:23:00,u0503,click,87
2025-07-01T00:24:00,u0504,click,94
2025-07-02T01:25:00,u0505,click,0
2025-07-03T02:26:00,u0506,click,7
2025-07-04T03:27:00,u0507,click,14
2025-07-05T04:28:00,u0508,click,21
2025-07-06T05:29:00,u0509,click,28
2025-07-07T06:30:00,u0510,click,35
2025-07-08T07:31:00,u0511,click,42
2025-07-09T08:32:00,u0512,click,49
2025-07-10T09:33:00,u0513,click,56
2025-07-11T10:34:00,u0514,click,63
2025-07-12T11:35:00,u0515,click,70
2025-07-13T12:36:00,u0516,click,77
2025-07-14T13:37:00,u0517,click,84
2025-07-15T14:38:00,u0518,click,91
2025-07-16T15:39:00,u0519,click,98
2025-07-17T16:40:00,u0520,click,4
2025-07-18T17:41:00,u0521,click,11
2025-07-19T18:42:00,u0522,click,18
2025-07-20T19:43:00,u0523,click,25
2025-07-21T20:44:00,u0524,click,32
2025-07-22T21:45:00,u0525,click,39
2025-07-23T22:46:00,u0526,click,46
2025-07-24T23:47:00,u0527,click,53
2025-07-25T00:48:00,u0528,click,60
2025-07-26T01:49:00,u0529,click,67
2025-07-27T02:50:00,u0530,click,74
2025-07-28T03:51:00,u0531,click,81
2025-07-01T04:52:00,u0532,click,88
2025-07-02T05:53:00,u0533,click,95
2025-07-03T06:54:00,u0534,click,1
2025-07-04T07:55:00,u0535,click,8
2025-07-05T08:56:00,u0536,click,15
2025-07-06T09:57:00,u0537,click,22
2025-07-07T10:58:00,u0538,click,29
2025-07-08T11:59:00,u0539,click,36
2025-07-09T12:00:00,u0540,click,43
2025-07-10T13:01:00,u0541,click,50
2025-07-11T14:02:00,u0542,click,57
2025-07-12T15:03:00,u0543,click,64
2025-07-13T16:04:00,u0544,click,71
2025-07-14T17:05:00,u0545,click,78
2025-07-15T18:06:00,u0546,click,85
2025-07-16T19:07:00,u0547,click,92
2025-07-17T20:08:00,u0548,click,99
2025-07-18T21:09:00,u0549,click,5
2025-07-19T22:10:00,u0550,click,12
2025-07-20T23:11:00,u0551,click,19
2025-07-21T00:12:00,u0552,click,26
2025-07-22T01:13:00,u0553,click,33
2025-07-23T02:14:00,u0554,click,40
2025-07-24T03:15:00,u0555,click,47
2025-07-25T04:16:00,u0556,click,54
2025-07-26T05:17:00,u0557,click,61
2025-07-27T06:18:00,u0558,click,68
2025-07-28T07:19:00,u0559,click,75
2025-07-01T08:20:00,u0560,click,82
2025-07-02T09:21:00,u0561,click,89
2025-07-03T10:22:00,u0562,click,96
2025-07-04T11:23:00,u0563,click,2
2025-07-05T12:24:00,u0564,click,9
2025-07-06T13:25:00,u0565,click,16
2025-07-07T14:26:00,u0566,click,23
2025-07-08T15:27:00,u0567,click,30
2025-07-09T16:28:00,u0568,click,37
2025-07-10T17:29:00,u0569,click,44
2025-07-11T18:30:00,u0570,click,51
2025-07-12T19:31:00,u0571,click,58
2025-07-13T20:32:00,u0572,click,65
2025-07-14T21:33:00,u0573,click,72
2025-07-15T22:34:00,u0574,click,79
2025-07-16T23:35:00,u0575,click,86
2025-07-17T00:36:00,u0576,click,93
2025-07-18T01:37:00,u0577,click,100
2025-07-19T02:38:00,u0578,click,6
2025-07-20T03:39:00,u0579,click,13
2025-07-21T04:40:00,u0580,click,20
2025-07-22T05:41:00,u0581,click,27
2025-07-23T06:42:00,u0582,click,34
2025-07-24T07:43:00,u0583,click,41
2025-07-25T08:44:00,u0584,click,48
2025-07-26T09:45:00,u0585,click,55
2025-07-27T10:46:00,u0586,click,62
2025-07-28T11:47:00,u0587,click,69
2025-07-01T12:48:00,u0588,click,76
2025-07-02T13:49:00,u0589,click,83
2025-07-03T14:50:00,u0590,click,90
2025-07-04T15:51:00,u0591,click,97
2025-07-05T16:52:00,u0592,click,3
2025-07-06T17:53:00,u0593,click,10
2025-07-07T18:54:00,u0594,click,17
2025-07-08T19:55:00,u0595,click,24
2025-07-09T20:56:00,u0596,click,31
2025-07-10T21:57:00,u0597,click,38
2025-07-11T22:58:00,u0598,click,45
2025-07-12T23:59:00,u0599,click,52
2025-07-13T00:00:00,u0600,click,59
2025-07-14T01:01:00,u0601,click,66
2025-07-15T02:02:00,u0602,click,73
2025-07-16T03:03:00,u0603,click,80
2025-07-17T04:04:00,u0604,click,87
2025-07-18T05:05:00,u0605,click,94
2025-07-19T06:06:00,u0606,click,0
2025-07-20T07:07:00,u0607,click,7
2025-07-21T08:08:00,u0608,click,14
2025-07-22T09:09:00,u0609,click,21
2025-07-23T10:10:00,u0610,click,28
2025-07-24T11:11:00,u0611,click,35
2025-07-25T12:12:00,u0612,click,42
2025-07-26T13:13:00,u0613,click,49
2025-07-27T14:14:00,u0614,click,56
2025-07-28T15:15:00,u0615,click,63
2025-07-01T16:16:00,u0616,click,70
2025-07-02T17:17:00,u0617,click,77
2025-07-03T18:18:00,u0618,click,84
2025-07-04T19:19:00,u0619,click,91
2025-07-05T20:20:00,u0620,click,98
2025-07-06T21:21:00,u0621,click,4
2025-07-07T22:22:00,u0622,click,11
2025-07-08T23:23:00,u0623,click,18
2025-07-09T00:24:00,u0624,click,25
2025-07-10T01:25:00,u0625,click,32
2025-07-11T02:26:00,u0626,click,39
2025-07-12T03:27:00,u0627,click,46
2025-07-13T04:28:00,u0628,click,53
2025-07-14T05:29:00,u0629,click,60
2025-07-15T06:30:00,u0630,click,67
2025-07-16T07:31:00,u0631,click,74
2025-07-17T08:32:00,u0632,click,81
2025-07-18T09:33:00,u0633,click,88
2025-07-19T10:34:00,u0634,click,95
2025-07-20T11:35:00,u0635,click,1
2025-07-21T12:36:00,u0636,click,8
2025-07-22T13:37:00,u0637,click,15
2025-07-23T14:38:00,u0638,click,22
2025-07-24T15:39:00,u0639,click,29
2025-07-25T16:40:00,u0640,click,36
2025-07-26T17:41:00,u0641,click,43
2025-07-27T18:42:00,u0642,click,50
2025-07-28T19:43:00,u0643,click,57
2025-07-01T20:44:00,u0644,click,64
2025-07-02T21:45:00,u0645,click,71
2025-07-03T22:46:00,u0646,click,78
2025-07-04T23:47:00,u0647,click,85
2025-07-05T00:48:00,u0648,click,92
2025-07-06T01:49:00,u0649,click,99
2025-07-07T02:50:00,u0650,click,5
2025-07-08T03:51:00,u0651,click,12
2025-07-09T04:52:00,u0652,click,19
2025-07-10T05:53:00,u0653,click,26
2025-07-11T06:54:00,u0654,click,33
2025-07-12T07:55:00,u0655,click,40
2025-07-13T08:56:00,u0656,click,47
2025-07-14T09:57:00,u0657,click,54
2025-07-15T10:58:00,u0658,click,61
2025-07-16T11:59:00,u0659,click,68
2025-07-17T12:00:00,u0660,click,75
2025-07-18T13:01:00,u0661,click,82
2025-07-19T14:02:00,u0662,click,89
2025-07-20T15:03:00,u0663,click,96
2025-07-21T16:04:00,u0664,click,2
2025-07-22T17:05:00,u0665,click,9
